risk_rank,unique_work_number,state,constituency,mp_name,work_category,work_name,sanction_amount,date_of_administrative_approval,expected_completion_date,implementing_agency_name,work_status,peer_median,peer_count,peer_baseline,cost_deviation_pct,cost_risk,contractor_peer_count,contractor_project_count,contractor_concentration,contractor_risk,similar_project_id,similar_project_name,text_similarity,text_similarity_risk,cost_contribution,contractor_contribution,text_similarity_contribution,risk_score,risk_band,anomaly_score,anomaly_flag,top_risk_signal,risk_explanation,rf_anomaly_probability,rf_anomaly_prediction
11,WS/26401/2023/00902,Uttar Pradesh,VARANASI,ANITA JOSHI,Drainage / Nala,"Covered drain construction from Kisan Nagar to Gandhi Chowk, VARANASI",2224512.91,2023-09-08,2024-03-25,Om Sai Infra Pvt Ltd,Sanctioned,655737.06,5,constituency + work_category,239.23855241611628,79.74618413870543,5,1,0.2,20.0,WS/49507/2024/00119,"Covered drain construction from Gandhi Chowk to Shanti Nagar, VARANASI",0.9594596810106543,95.94596810106543,35.88578286241744,6.0,23.986492025266358,65.8722748876838,High,98.88776541961577,True,Cost Anomaly,Sanction amount is 239.2% above the constituency + work_category peer median.,50.77416165242518,1
12,WS/76005/2023/00907,Uttar Pradesh,LUCKNOW,ADV K FRANCIS GEORGE,Water Supply / Handpump,"Installation of handpump at Ram Nagar village, LUCKNOW",1966820.05,2023-08-11,2023-11-28,New India Construction Co.,Sanctioned,590699.13,9,constituency + work_category,232.96477853285475,77.65492617761825,9,1,0.1111111111111111,11.11111111111111,WS/76074/2023/00361,"Installation of handpump at Subhash Nagar village, LUCKNOW",0.9655021914155757,96.55021914155756,34.944716779928214,3.333333333333333,24.13755478538939,62.41560489865094,High,98.98887765419616,True,Cost Anomaly,Sanction amount is 233.0% above the constituency + work_category peer median.,36.51407721853751,0
13,WS/11111/2023/00906,Maharashtra,AURANGABAD_MH,ABDUL RASHID SHEIKH,Solar Light Installation,"Solar street light at Vivekanand Marg chowk parisar, AURANGABAD_MH",1052914.34,2023-05-20,2023-12-27,Om Sai Infra Pvt Ltd,New Recommendation,358807.4,9,constituency + work_category,193.4483346776014,64.48277822586714,9,1,0.1111111111111111,11.11111111111111,WS/67780/2024/00913,"Solar street light at Vivekanand Marg chowk parisar, AURANGABAD_MH",1.0,100.0,29.017250201640213,3.333333333333333,25.0,57.350583534973545,Medium,98.78665318503539,True,Cost Anomaly,Sanction amount is 193.4% above the constituency + work_category peer median.,75.14256048051031,1
14,WS/33255/2024/00402,Maharashtra,HINGOLI,ADITYA YADAV,Streetlight Installation,"Installation of streetlights at Ambedkar Colony chowk, HINGOLI",536816.26,2024-08-29,2025-05-30,National Builders & Contractors,Completed,321625.92,7,constituency + work_category,66.90702664760354,22.302342215867846,7,4,0.5714285714285714,57.14285714285714,WS/37479/2023/00231,"Installation of streetlights at Ambedkar Colony chowk, AURANGABAD_BR",0.944587391877999,94.4587391877999,10.036053997140531,17.142857142857142,23.614684796949977,50.79359593694765,Medium,98.48331648129424,True,Text Similarity,Project description has 0.94 semantic similarity with project WS/37479/2023/00231.,9.120070589337422,0
15,WS/29975/2024/00910,Bihar,GAYA,SANJAY DESHMUKH,Water Supply / Handpump,"Water supply pipeline extension to Bazaar Road area, GAYA",1929022.43,2024-05-01,2024-10-30,Ganesh Engineering Works,Completed,792124.59,5,constituency + work_category,143.52512904567197,47.841709681890656,5,1,0.2,20.0,WS/70994/2023/00584,"Water supply pipeline extension to Bazaar Road area, ATTINGAL",0.9125061928796778,91.25061928796778,21.528769356850795,6.0,22.812654821991945,50.34142417884274,Medium,97.16885743174925,True,Text Similarity,Project description has 0.91 semantic similarity with project WS/70994/2023/00584.,30.1117928269314,0
16,WS/61435/2025/00445,Kerala,ATTINGAL,ADV K FRANCIS GEORGE,Road Construction,"Widening and strengthening of road near Ram Nagar village, ATTINGAL",2234028.71,2025-11-30,2026-04-13,Shree Balaji Construction Co.,New Recommendation,1135609.91,5,constituency + work_category,96.72501008731072,32.24167002910357,5,2,0.4,40.0,WS/57537/2023/00101,"Widening and strengthening of road near Ram Nagar village, KANPUR",0.9267415314476126,92.67415314476126,14.508751513096605,12.0,23.168538286190316,49.677289799286925,Medium,97.87664307381193,True,Text Similarity,Project description has 0.93 semantic similarity with project WS/57537/2023/00101.,9.645741492561347,0
17,WS/97679/2025/00373,Bihar,AURANGABAD_BR,ANITA JOSHI,School Building Repair,"Repair and renovation of Govt. School building at Vivekanand Marg, AURANGABAD_BR",1795283.52,2025-07-22,2026-08-18,Shree Balaji Construction Co.,Completed,816376.1,9,constituency + work_category,119.9088777831688,39.96962592772294,9,2,0.2222222222222222,22.22222222222222,WS/47649/2025/00184,"Repair and renovation of Govt. School building at Vivekanand Marg, AURANGABAD_MH",0.9974396825409069,99.74396825409069,17.986331667475323,6.666666666666666,24.935992063522672,49.58899039766466,Medium,96.8655207280081,True,Text Similarity,Project description has 1.00 semantic similarity with project WS/47649/2025/00184.,22.797463936994507,0
18,WS/30677/2023/00566,Uttar Pradesh,LUCKNOW,MEERA IYER,Drainage / Nala,"Construction of drainage/nala near Andouli area, LUCKNOW",1133107.98,2023-05-12,2023-09-17,Om Sai Infra Pvt Ltd,Sanctioned,472536.05,5,constituency + work_category,139.79291738693797,46.597639128979324,5,1,0.2,20.0,WS/96410/2023/00944,"Construction of drainage/nala near Andouli area, AURANGABAD_MH",0.8928769272530133,89.28769272530133,20.968937608040697,6.0,22.32192318132533,49.29086078936603,Medium,97.97775530839232,True,Text Similarity,Project description has 0.89 semantic similarity with project WS/96410/2023/00944.,26.832957444836826,0
19,WS/50737/2025/00823,Kerala,ATTINGAL,RAJESH KUMAR SHARMA,Drainage / Nala,"Construction of drainage/nala near Andouli area, ATTINGAL",1067997.28,2025-12-02,2026-08-13,Jai Hind Infrastructure,Completed,507526.095,12,constituency + work_category,110.43199364950883,36.810664549836275,12,4,0.3333333333333333,33.33333333333333,WS/96410/2023/00944,"Construction of drainage/nala near Andouli area, AURANGABAD_MH",0.9069369452560803,90.69369452560802,16.564799047426323,9.999999999999998,22.673423631402006,49.23822267882832,Medium,98.38220424671385,True,Text Similarity,Project description has 0.91 semantic similarity with project WS/96410/2023/00944.,13.072042264138503,0
20,WS/24131/2025/00614,Kerala,ATTINGAL,ABHAY KUMAR SINHA,Road Construction,"CC road construction at Andouli ward, ATTINGAL",2116976.92,2025-05-15,2026-02-19,Shree Balaji Construction Co.,Ongoing,1135609.91,5,constituency + work_category,86.41761588713153,28.80587196237718,5,2,0.4,40.0,WS/73886/2025/00858,"CC road construction at Andouli ward, HOWRAH",0.9204404560379658,92.04404560379658,12.962642383069731,12.0,23.011011400949144,47.97365378401888,Medium,97.57330637007078,True,Text Similarity,Project description has 0.92 semantic similarity with project WS/73886/2025/00858.,7.324167123085652,0
21,WS/57622/2024/00636,Bihar,PATNA_SAHIB,ANITA JOSHI,Solar Light Installation,"Solar street light at Subhash Nagar chowk parisar, PATNA_SAHIB",367716.37,2024-03-13,2024-08-05,Jai Hind Infrastructure,New Recommendation,179785.09,13,constituency + work_category,104.53107095810894,34.84369031936965,13,3,0.23076923076923078,23.076923076923077,WS/84946/2024/00083,"Solar street light at Subhash Nagar chowk parisar, PATNA_SAHIB",1.0,100.0,15.679660643716343,6.9230769230769225,25.0,47.602737566793266,Medium,95.65217391304348,True,Text Similarity,Project description has 1.00 semantic similarity with project WS/84946/2024/00083.,73.38331902436308,1
22,WS/93674/2023/00905,Jammu And Kashmir,SRINAGAR,ADHIKARI SOUMENDU,Road Construction,"Widening and strengthening of road near Andouli village, SRINAGAR",4471498.52,2023-04-12,2023-11-16,Ganesh Engineering Works,Ongoing,1864190.97,7,constituency + work_category,139.86268531276062,46.62089510425354,7,1,0.14285714285714285,14.285714285714285,WS/15759/2024/00789,"Widening and strengthening of road near Ram Nagar village, SRINAGAR",0.8846737542738403,88.46737542738403,20.979402796914094,4.285714285714286,22.116843856846007,47.38196093947438,Medium,98.17997977755309,True,Text Similarity,Project description has 0.88 semantic similarity with project WS/15759/2024/00789.,26.209361973718178,0
23,WS/22648/2023/00615,Uttar Pradesh,BADAUN,VIKRAM SINGH RATHORE,Road Construction,Construction of concrete road from Ram Nagar to Bazaar Road in BADAUN,2344499.81,2023-05-15,2023-08-16,Bharat Infra Solutions,Completed,1251443.99,6,constituency + work_category,87.34356701013843,29.11452233671281,6,2,0.3333333333333333,33.33333333333333,WS/38752/2024/00400,Construction of concrete road from Subhash Nagar to Bazaar Road in BADAUN,0.970840141762367,97.08401417623669,13.101535051520765,9.999999999999998,24.271003544059173,47.37253859557994,Medium,94.94438827098078,True,Text Similarity,Project description has 0.97 semantic similarity with project WS/38752/2024/00400.,7.119323734462187,0
24,WS/43557/2023/00912,Jammu And Kashmir,BARAMULLAH,ADV DEAN KURIAKOSE,Community Hall,"Construction of community hall at Ambedkar Colony, BARAMULLAH",6791111.94,2023-10-01,2024-07-22,Bharat Infra Solutions,Sanctioned,3517762.94,6,constituency + work_category,93.05200651184302,31.017335503947674,6,2,0.3333333333333333,33.33333333333333,WS/41850/2023/00018,"Construction of community hall at Ambedkar Colony, AURANGABAD_MH",0.9110539682762739,91.10539682762739,13.957800976776454,9.999999999999998,22.776349206906847,46.7341501836833,Medium,97.06774519716885,True,Text Similarity,Project description has 0.91 semantic similarity with project WS/41850/2023/00018.,8.456080484689883,0
25,WS/79550/2024/00815,Bihar,AURANGABAD_BR,AASHTIKAR PATIL NAGESH BAPURAO,School Building Repair,"Repair and renovation of Govt. School building at Nehru Path, AURANGABAD_BR",1618758.12,2024-05-16,2024-09-24,Shree Balaji Construction Co.,Completed,816376.1,9,constituency + work_category,98.28582928873104,32.76194309624368,9,2,0.2222222222222222,22.22222222222222,WS/36972/2024/00240,"Repair and renovation of Govt. School building at Nehru Path, AURANGABAD_MH",0.9969677988881975,99.69677988881975,14.742874393309656,6.666666666666666,24.924194972204937,46.33373603218126,Medium,93.62992922143579,True,Text Similarity,Project description has 1.00 semantic similarity with project WS/36972/2024/00240.,11.70203127396028,0
26,WS/40704/2024/00734,Kerala,KOTTAYAM,ADITYA YADAV,Road Construction,Construction of concrete road from Ambedkar Colony to Vivekanand Marg in KOTTAYAM,2187677.4,2024-12-31,2025-08-03,Deep Construction Co.,Ongoing,1037620.92,5,constituency + work_category,110.83589949208039,36.945299830693465,5,1,0.2,20.0,WS/20142/2023/00946,Construction of concrete road from Ambedkar Colony to Vivekanand Marg in AURANGABAD_MH,0.9322898286377124,93.22898286377124,16.62538492381206,6.0,23.30724571594281,45.93263063975487,Medium,88.97876643073812,False,Text Similarity,Project description has 0.93 semantic similarity with project WS/20142/2023/00946.,15.117901349707171,0
27,WS/59160/2024/00463,Bihar,PATNA_SAHIB,SANJAY DESHMUKH,Solar Light Installation,"Solar street light at Station Road chowk parisar, PATNA_SAHIB",354053.69,2024-12-14,2025-06-15,Jai Hind Infrastructure,Ongoing,179785.09,13,constituency + work_category,96.93161985790924,32.31053995263641,13,3,0.23076923076923078,23.076923076923077,WS/72835/2025/00207,"Solar street light at Gandhi Chowk chowk parisar, PATNA_SAHIB",0.9570551373249487,95.70551373249488,14.539742978686386,6.9230769230769225,23.92637843312372,45.38919833488703,Medium,86.34984833164813,False,Text Similarity,Project description has 0.96 semantic similarity with project WS/72835/2025/00207.,10.387475462097404,0
28,WS/43483/2023/00477,Uttar Pradesh,KANPUR,ABU TAHER KHAN,Water Supply / Handpump,"Water supply pipeline extension to Shanti Nagar area, KANPUR",689128.66,2023-04-19,2023-12-27,Jai Hind Infrastructure,Completed,633314.98,6,constituency + work_category,8.812941705563329,2.9376472351877765,6,4,0.6666666666666666,66.66666666666666,WS/82516/2023/00689,"Water supply pipeline extension to Ram Nagar area, KANPUR",0.962484960092076,96.2484960092076,1.3219412558344994,19.999999999999996,24.0621240023019,45.384065258136395,Medium,98.0788675429727,True,Text Similarity,Project description has 0.96 semantic similarity with project WS/82516/2023/00689.,9.798672829608284,0
29,WS/35362/2025/00368,Uttar Pradesh,KANPUR,ADV ADOOR PRAKASH,Water Supply / Handpump,"Installation of handpump at Nehru Path village, KANPUR",693240.35,2025-01-23,2025-09-28,Jai Hind Infrastructure,Ongoing,633314.98,6,constituency + work_category,9.462174730179287,3.154058243393095,6,4,0.6666666666666666,66.66666666666666,WS/13771/2024/00660,"Installation of handpump at Nehru Path village, LUCKNOW",0.9489790983598216,94.89790983598216,1.4193262095268928,19.999999999999996,23.72447745899554,45.14380366852243,Medium,97.26996966632963,True,Text Similarity,Project description has 0.95 semantic similarity with project WS/13771/2024/00660.,10.683227229251191,0
30,WS/41897/2024/00819,Kerala,ERNAKULAM,ADHIKARI SOUMENDU,School Building Repair,"Repair and renovation of Govt. School building at Gandhi Chowk, ERNAKULAM",1737071.71,2024-08-06,2025-09-09,United Rural Builders,Ongoing,934267.0,9,constituency + work_category,85.92883083743726,28.642943612479087,9,2,0.2222222222222222,22.22222222222222,WS/22265/2025/00669,"Repair and renovation of Govt. School building at Gandhi Chowk, ERNAKULAM",1.0000000000000004,100.0,12.88932462561559,6.666666666666666,25.0,44.55599129228226,Medium,92.11324570273003,True,Text Similarity,Project description has 1.00 semantic similarity with project WS/22265/2025/00669.,23.16845977494893,0
31,WS/82516/2023/00689,Uttar Pradesh,KANPUR,ADV ADOOR PRAKASH,Water Supply / Handpump,"Water supply pipeline extension to Ram Nagar area, KANPUR",242493.28,2023-04-20,2024-01-21,Jai Hind Infrastructure,New Recommendation,633314.98,6,constituency + work_category,-61.71047777837182,0.0,6,4,0.6666666666666666,66.66666666666666,WS/43483/2023/00477,"Water supply pipeline extension to Shanti Nagar area, KANPUR",0.962484960092076,96.2484960092076,0.0,19.999999999999996,24.0621240023019,44.0621240023019,Medium,98.685540950455,True,Text Similarity,Project description has 0.96 semantic similarity with project WS/43483/2023/00477.,9.73228412890357,0
32,WS/68192/2024/00900,West Bengal,MURSHIDABAD,ANITA JOSHI,Water Supply / Handpump,"Installation of handpump at Panchayat Bhavan Marg village, MURSHIDABAD",864136.04,2024-07-25,2025-04-21,Deep Construction Co.,New Recommendation,400792.35,11,constituency + work_category,115.6069196430521,38.53563988101737,11,1,0.09090909090909091,9.090909090909092,WS/78690/2025/00455,"Installation of handpump at Panchayat Bhavan Marg village, LUCKNOW",0.959664797895033,95.9664797895033,17.341037946457817,2.7272727272727275,23.991619947375824,44.05993062110637,Medium,92.82103134479271,True,Text Similarity,Project description has 0.96 semantic similarity with project WS/78690/2025/00455.,19.098550605348997,0
33,WS/96944/2023/00372,Uttar Pradesh,LUCKNOW,SANJAY DESHMUKH,Streetlight Installation,"LED streetlight installation along Vivekanand Marg road, LUCKNOW",391666.18,2023-07-04,2024-02-27,Ganesh Engineering Works,Ongoing,186892.53,7,constituency + work_category,109.5675948097016,36.522531603233865,7,1,0.14285714285714285,14.285714285714285,WS/44179/2025/00025,"LED streetlight installation along Gandhi Chowk road, LUCKNOW",0.9314384587298328,93.14384587298328,16.43513922145524,4.285714285714286,23.28596146824582,44.006814975415345,Medium,88.16986855409505,False,Text Similarity,Project description has 0.93 semantic similarity with project WS/44179/2025/00025.,12.422724339827289,0
34,WS/72288/2025/00648,Bihar,GAYA,SANJAY DESHMUKH,School Building Repair,"Construction of additional classroom at Kisan Nagar school, GAYA",1355833.83,2025-12-12,2026-07-02,National Builders & Contractors,New Recommendation,874572.41,5,constituency + work_category,55.02819600723513,18.34273200241171,5,2,0.4,40.0,WS/88154/2023/00568,"Construction of additional classroom at Shanti Nagar school, GAYA",0.9493668322259029,94.93668322259029,8.25422940108527,12.0,23.734170805647572,43.98840020673284,Medium,90.09100101112234,True,Text Similarity,Project description has 0.95 semantic similarity with project WS/88154/2023/00568.,5.819178533397792,0
35,WS/21813/2023/00094,Kerala,ATTINGAL,ABDUL RASHID SHEIKH,Community Hall,"Multipurpose community centre building at Nehru Path panchayat, ATTINGAL",3471526.21,2023-05-05,2024-04-25,New India Construction Co.,Ongoing,2172665.62,6,constituency + work_category,59.78189087375534,19.927296957918447,6,2,0.3333333333333333,33.33333333333333,WS/58717/2025/00331,"Multipurpose community centre building at Nehru Path panchayat, ATTINGAL",0.9999999999999999,99.99999999999999,8.967283631063301,9.999999999999998,24.999999999999996,43.967283631063296,Medium,94.33771486349848,True,Text Similarity,Project description has 1.00 semantic similarity with project WS/58717/2025/00331.,36.04878492165356,0
36,WS/45903/2024/00982,Bihar,AURANGABAD_BR,ABHAY KUMAR SINHA,Drainage / Nala,"Covered drain construction from Panchayat Bhavan Marg to Panchayat Bhavan Marg, AURANGABAD_BR",1128582.53,2024-04-21,2024-04-26,Om Sai Infra Pvt Ltd,Completed,644435.71,6,constituency + work_category,75.12724892293757,25.04241630764586,6,2,0.3333333333333333,33.33333333333333,WS/83273/2024/00330,"Covered drain construction from Shanti Nagar to Panchayat Bhavan Marg, JAMMU",0.9068299618690541,90.68299618690541,11.269087338440636,9.999999999999998,22.670749046726353,43.939836385166984,Medium,95.55106167846309,True,Text Similarity,Project description has 0.91 semantic similarity with project WS/83273/2024/00330.,4.8077828310856265,0
37,WS/92700/2023/00804,Kerala,ATTINGAL,PRIYA VERMA,School Building Repair,"Repair and renovation of Govt. School building at Kisan Nagar, ATTINGAL",1429929.89,2023-12-05,2024-10-04,Shree Balaji Construction Co.,New Recommendation,977273.97,7,constituency + work_category,46.318221286503714,15.439407095501236,7,3,0.42857142857142855,42.857142857142854,WS/29815/2024/00695,"Repair and renovation of Govt. School building at Kisan Nagar, AURANGABAD_MH",0.9578450482519056,95.78450482519057,6.947733192975557,12.857142857142856,23.94612620629764,43.75100225641606,Medium,91.91102123356926,True,Text Similarity,Project description has 0.96 semantic similarity with project WS/29815/2024/00695.,6.835262020655372,0
38,WS/73463/2023/00835,Maharashtra,AURANGABAD_MH,VIKRAM SINGH RATHORE,Community Hall,"Multipurpose community centre building at Panchayat Bhavan Marg panchayat, AURANGABAD_MH",3234314.63,2023-07-06,2024-07-03,National Builders & Contractors,Sanctioned,2216905.62,5,constituency + work_category,45.89320360873097,15.297734536243656,5,2,0.4,40.0,WS/16380/2025/00673,"Multipurpose community centre building at Panchayat Bhavan Marg panchayat, AURANGABAD_BR",0.9920857118840387,99.20857118840387,6.883980541309645,12.0,24.802142797100966,43.68612333841061,Medium,95.04550050556118,True,Text Similarity,Project description has 0.99 semantic similarity with project WS/16380/2025/00673.,7.767758803367306,0
39,WS/17347/2025/00560,Bihar,PATNA_SAHIB,RAVI SHANKAR PRASAD JI,Solar Light Installation,"Solar light installation near Vivekanand Marg hanuman mandir, PATNA_SAHIB",384122.33,2025-12-15,2026-02-21,Shree Balaji Construction Co.,New Recommendation,179785.09,13,constituency + work_category,113.65638830227802,37.885462767426006,13,1,0.07692307692307693,7.6923076923076925,WS/76577/2025/00523,"Solar light installation near Ram Nagar hanuman mandir, PATNA_SAHIB",0.9657748243591313,96.57748243591313,17.048458245341703,2.3076923076923075,24.14437060897828,43.50052116201229,Medium,93.93326592517694,True,Text Similarity,Project description has 0.97 semantic similarity with project WS/76577/2025/00523.,16.588014681889195,0
40,WS/14965/2023/00377,Kerala,ERNAKULAM,ABHAY KUMAR SINHA,Water Supply / Handpump,"Installation of handpump at Ram Nagar village, ERNAKULAM",680230.48,2023-04-25,2024-02-14,Deep Construction Co.,New Recommendation,373343.33,5,constituency + work_category,82.19971413444026,27.39990471148009,5,1,0.2,20.0,WS/20831/2024/00834,"Installation of handpump at Ram Nagar village, ERNAKULAM",1.0000000000000004,100.0,12.329957120166041,6.0,25.0,43.32995712016604,Medium,89.68655207280081,False,Text Similarity,Project description has 1.00 semantic similarity with project WS/20831/2024/00834.,21.501472595461756,0
41,WS/46583/2023/00369,Kerala,ATTINGAL,ADHIKARI SOUMENDU,Drainage / Nala,"Construction of drainage/nala near Station Road area, ATTINGAL",961571.54,2023-08-01,2024-04-10,Shree Balaji Construction Co.,Sanctioned,507526.095,12,constituency + work_category,89.46248271234212,29.82082757078071,12,3,0.25,25.0,WS/54540/2023/00754,"Construction of drainage/nala near Station Road area, AURANGABAD_BR",0.894629818413546,89.4629818413546,13.41937240685132,7.5,22.36574546033865,43.28511786718997,Medium,94.8432760364004,True,Text Similarity,Project description has 0.89 semantic similarity with project WS/54540/2023/00754.,8.818443469193062,0
42,WS/22561/2025/00609,Uttar Pradesh,VARANASI,ADV K FRANCIS GEORGE,Solar Light Installation,"Solar street light at Station Road chowk parisar, VARANASI",395748.21,2025-06-28,2026-01-28,Bharat Infra Solutions,New Recommendation,278399.94,7,constituency + work_category,42.15096813598452,14.05032271199484,7,3,0.42857142857142855,42.857142857142854,WS/43158/2025/00649,"Solar street light at Station Road chowk parisar, AURANGABAD_MH",0.9577003953849401,95.77003953849402,6.3226452203976775,12.857142857142856,23.942509884623504,43.12229796216404,Medium,91.0010111223458,True,Text Similarity,Project description has 0.96 semantic similarity with project WS/43158/2025/00649.,5.483810956963991,0
