unique_work_number,state,constituency,mp_name,work_category,work_name,sanction_amount,date_of_administrative_approval,expected_completion_date,implementing_agency_name,work_status
WS/28293/2023/00601,Kerala,ERNAKULAM,SANJAY DESHMUKH,Solar Light Installation,"Solar light installation near Bazaar Road hanuman mandir, ERNAKULAM",254876.53,15-09-2023,18-06-2024,Deep Construction Co.,Sanctioned
WS/52432/2023/00924,Bihar,GAYA,PRIYA VERMA,Solar Light Installation,"Solar street light at Panchayat Bhavan Marg chowk parisar, GAYA",412822.75,21-10-2023,28-01-2024,Shree Balaji Construction Co.,Ongoing
WS/71644/2024/00052,West Bengal,KANTHI,ADV K FRANCIS GEORGE,Solar Light Installation,"Solar light installation near Andouli hanuman mandir, KANTHI",407874.0,10-01-2024,11-10-2024,Bharat Infra Solutions,Completed
WS/17816/2025/00072,West Bengal,TAMLUK,RAVI SHANKAR PRASAD JI,Drainage / Nala,"Covered drain construction from Shanti Nagar to Nehru Path, TAMLUK",882871.25,17-10-2025,01-05-2026,National Builders & Contractors,Completed
WS/82516/2023/00689,Uttar Pradesh,KANPUR,ADV ADOOR PRAKASH,Water Supply / Handpump,"Water supply pipeline extension to Ram Nagar area, KANPUR",242493.28,20-04-2023,21-01-2024,Jai Hind Infrastructure,New Recommendation
WS/60436/2023/00446,Jammu And Kashmir,BARAMULLAH,ADV DEAN KURIAKOSE,Solar Light Installation,"Solar light installation near Ambedkar Colony hanuman mandir, BARAMULLAH",233552.09,13-04-2023,13-08-2023,Deep Construction Co.,Ongoing
WS/79501/2024/00545,Bihar,AURANGABAD_BR,ANITA JOSHI,Solar Light Installation,"Solar light installation near Panchayat Bhavan Marg hanuman mandir, AURANGABAD_BR",252157.02,21-01-2024,05-11-2024,Sri Lakshmi Contractors,New Recommendation
WS/13314/2025/00942,Maharashtra,AURANGABAD_MH,ABU TAHER KHAN,Water Supply / Handpump,"Installation of handpump at Kisan Nagar village, AURANGABAD_MH",580570.74,21-12-2025,31-03-2026,Shree Balaji Construction Co.,Sanctioned
WS/66603/2024/00222,Bihar,AURANGABAD_BR,ADV DEAN KURIAKOSE,Solar Light Installation,"Solar street light at Shanti Nagar chowk parisar, AURANGABAD_BR",447405.06,15-08-2024,07-02-2025,New India Construction Co.,Sanctioned
WS/29481/2023/00289,Kerala,ERNAKULAM,ADHIKARI SOUMENDU,Community Hall,"Construction of community hall at Andouli, ERNAKULAM",2036790.26,09-10-2023,26-04-2024,Bharat Infra Solutions,Sanctioned
WS/60012/2024/00931,Bihar,GAYA,PRIYA VERMA,Community Hall,"Multipurpose community centre building at Nehru Path panchayat, GAYA",1942237.9,30-11-2024,22-04-2025,Shree Balaji Construction Co.,Sanctioned
WS/10235/2025/00299,Jammu And Kashmir,JAMMU,ADHIKARI SOUMENDU,School Building Repair,"Construction of additional classroom at Kisan Nagar school, JAMMU",829552.52,06-03-2025,02-10-2025,National Builders & Contractors,Ongoing
WS/31298/2024/00187,Uttar Pradesh,KANPUR,ABU TAHER KHAN,Solar Light Installation,"Solar street light at Kisan Nagar chowk parisar, KANPUR",276474.44,05-01-2024,11-06-2024,Om Sai Infra Pvt Ltd,New Recommendation
WS/37636/2023/00729,Bihar,AURANGABAD_BR,PRIYA VERMA,Water Supply / Handpump,"Water supply pipeline extension to Bazaar Road area, AURANGABAD_BR",286083.88,22-08-2023,31-07-2024,Bharat Infra Solutions,Sanctioned
WS/94889/2024/00098,Jammu And Kashmir,SRINAGAR,AASHTIKAR PATIL NAGESH BAPURAO,Streetlight Installation,"LED streetlight installation along Ram Nagar road, SRINAGAR",547905.68,26-10-2024,10-06-2025,Jai Hind Infrastructure,Ongoing
WS/75323/2024/00080,West Bengal,TAMLUK,ADV ADOOR PRAKASH,Solar Light Installation,"Solar street light at Kisan Nagar chowk parisar, TAMLUK",419525.46,16-07-2024,13-11-2024,Progressive Engineers & Contractors,Ongoing
WS/67503/2024/00451,Kerala,IDUKKI,RAVI SHANKAR PRASAD JI,Solar Light Installation,"Solar light installation near Kisan Nagar hanuman mandir, IDUKKI",137587.08,12-08-2024,07-02-2025,New India Construction Co.,New Recommendation
WS/46231/2025/00764,West Bengal,MURSHIDABAD,ADV DEAN KURIAKOSE,Water Supply / Handpump,"Installation of handpump at Gandhi Chowk village, MURSHIDABAD",253121.91,10-10-2025,20-01-2026,Bharat Infra Solutions,Completed
WS/67870/2024/00697,Jammu And Kashmir,JAMMU,ABHIJIT GANGOPADHYAY,Solar Light Installation,"Solar light installation near Station Road hanuman mandir, JAMMU",171885.18,05-04-2024,23-08-2024,Deep Construction Co.,New Recommendation
WS/33209/2023/00489,Maharashtra,NAGPUR,AASHTIKAR PATIL NAGESH BAPURAO,Community Hall,"Multipurpose community centre building at Ambedkar Colony panchayat, NAGPUR",3875495.11,14-11-2023,25-04-2024,Ganesh Engineering Works,Completed
WS/30019/2025/00626,Maharashtra,HINGOLI,ABHAY KUMAR SINHA,School Building Repair,"Repair and renovation of Govt. School building at Nehru Path, HINGOLI",1349350.42,21-12-2025,21-05-2026,Sri Lakshmi Contractors,New Recommendation
WS/57516/2023/00170,Kerala,KOTTAYAM,PRIYA VERMA,Community Hall,"Construction of community hall at Station Road, KOTTAYAM",1613105.99,23-05-2023,08-05-2024,United Rural Builders,Ongoing
WS/52899/2023/00276,Jammu And Kashmir,BARAMULLAH,ANITA JOSHI,Road Construction,"Widening and strengthening of road near Ram Nagar village, BARAMULLAH",2421934.99,10-06-2023,03-04-2024,Bharat Infra Solutions,New Recommendation
WS/41544/2023/00200,Jammu And Kashmir,SRINAGAR,ADITYA YADAV,Water Supply / Handpump,"Installation of handpump at Gandhi Chowk village, SRINAGAR",735842.95,03-05-2023,04-06-2024,Sri Lakshmi Contractors,Completed
WS/72288/2025/00648,Bihar,GAYA,SANJAY DESHMUKH,School Building Repair,"Construction of additional classroom at Kisan Nagar school, GAYA",1355833.83,12-12-2025,02-07-2026,National Builders & Contractors,New Recommendation
WS/51904/2024/00046,Kerala,IDUKKI,ADV DEAN KURIAKOSE,School Building Repair,"Repair and renovation of Govt. School building at Station Road, IDUKKI",508476.7,18-01-2024,16-07-2024,Bharat Infra Solutions,New Recommendation
WS/29884/2025/00482,Kerala,KOTTAYAM,PRIYA VERMA,Solar Light Installation,"Solar light installation near Vivekanand Marg hanuman mandir, KOTTAYAM",446626.56,22-11-2025,01-11-2026,Bharat Infra Solutions,Ongoing
WS/54597/2025/00003,Kerala,ERNAKULAM,ADV ADOOR PRAKASH,School Building Repair,"Repair and renovation of Govt. School building at Nehru Path, ERNAKULAM",1224971.96,07-07-2025,08-09-2025,National Builders & Contractors,Sanctioned
WS/67627/2024/00618,Kerala,ATTINGAL,ADITYA YADAV,Streetlight Installation,"Installation of streetlights at Panchayat Bhavan Marg chowk, ATTINGAL",533083.56,30-07-2024,03-04-2025,Deep Construction Co.,Ongoing
WS/83563/2023/00002,Uttar Pradesh,KANPUR,ABDUL RASHID SHEIKH,Road Construction,"CC road construction at Gandhi Chowk ward, KANPUR",959281.91,25-11-2023,08-10-2024,Jai Hind Infrastructure,Completed
WS/88311/2024/00411,Bihar,AURANGABAD_BR,ABDUL RASHID SHEIKH,Water Supply / Handpump,"Water supply pipeline extension to Andouli area, AURANGABAD_BR",469028.21,15-05-2024,24-05-2025,Progressive Engineers & Contractors,New Recommendation
WS/34101/2024/00204,Kerala,ERNAKULAM,ANITA JOSHI,Community Hall,"Construction of community hall at Station Road, ERNAKULAM",3240771.02,23-05-2024,06-10-2024,Bharat Infra Solutions,Sanctioned
WS/50642/2025/00147,Kerala,ERNAKULAM,ABDUL RASHID SHEIKH,Community Hall,"Multipurpose community centre building at Station Road panchayat, ERNAKULAM",2003977.48,19-06-2025,28-11-2025,Shree Balaji Construction Co.,New Recommendation
WS/60434/2023/00620,West Bengal,KANTHI,ADV GOWAAL KAGADA PADAVI,Streetlight Installation,"LED streetlight installation along Nehru Path road, KANTHI",474961.46,24-06-2023,06-02-2024,Metro Civil Works Pvt Ltd,Completed
WS/28569/2024/00236,Kerala,IDUKKI,RAJESH KUMAR SHARMA,Road Construction,"Widening and strengthening of road near Vivekanand Marg village, IDUKKI",1620710.84,28-01-2024,26-10-2024,Om Sai Infra Pvt Ltd,Completed
WS/84086/2025/00596,Kerala,KOTTAYAM,ADV GOWAAL KAGADA PADAVI,School Building Repair,"Construction of additional classroom at Kisan Nagar school, KOTTAYAM",1654368.44,18-12-2025,06-12-2026,Progressive Engineers & Contractors,Ongoing
WS/69168/2024/00921,West Bengal,HOWRAH,ABHIJIT GANGOPADHYAY,Drainage / Nala,"Construction of drainage/nala near Subhash Nagar area, HOWRAH",362333.14,19-05-2024,28-08-2024,Om Sai Infra Pvt Ltd,New Recommendation
WS/83272/2025/00452,Kerala,ERNAKULAM,RAJESH KUMAR SHARMA,Water Supply / Handpump,"Water supply pipeline extension to Nehru Path area, ERNAKULAM",294312.52,07-10-2025,26-12-2025,Metro Civil Works Pvt Ltd,Sanctioned
WS/79316/2024/00198,West Bengal,TAMLUK,RAVI SHANKAR PRASAD JI,Drainage / Nala,"Construction of drainage/nala near Shanti Nagar area, TAMLUK",888180.69,22-03-2024,20-07-2024,National Builders & Contractors,Sanctioned
WS/21552/2023/00410,Jammu And Kashmir,SRINAGAR,AASHTIKAR PATIL NAGESH BAPURAO,Solar Light Installation,"Solar light installation near Ram Nagar hanuman mandir, SRINAGAR",131881.0,27-08-2023,23-06-2024,Jai Hind Infrastructure,Sanctioned
WS/74154/2024/00252,Kerala,IDUKKI,ABU TAHER KHAN,Drainage / Nala,"Covered drain construction from Shanti Nagar to Bazaar Road, IDUKKI",431619.1,24-02-2024,28-08-2024,Progressive Engineers & Contractors,Sanctioned
WS/83048/2023/00096,Kerala,KOTTAYAM,ABHIJIT GANGOPADHYAY,School Building Repair,"Construction of additional classroom at Vivekanand Marg school, KOTTAYAM",1748050.61,23-08-2023,14-02-2024,Progressive Engineers & Contractors,Sanctioned
WS/94717/2024/00973,West Bengal,MURSHIDABAD,ADV DEAN KURIAKOSE,Water Supply / Handpump,"Installation of handpump at Subhash Nagar village, SRINAGAR",423351.66,13-09-2024,21-06-2025,Om Sai Infra Pvt Ltd,Completed
WS/96870/2025/00102,Uttar Pradesh,VARANASI,ABDUL RASHID SHEIKH,School Building Repair,"Repair and renovation of Govt. School building at Gandhi Chowk, VARANASI",786234.02,17-12-2025,18-04-2026,Metro Civil Works Pvt Ltd,Completed
WS/89310/2024/00153,Jammu And Kashmir,BARAMULLAH,ADV ADOOR PRAKASH,Solar Light Installation,"Solar street light at Shanti Nagar chowk parisar, BARAMULLAH",325807.01,05-04-2024,17-12-2024,Jai Hind Infrastructure,Completed
WS/43483/2023/00477,Uttar Pradesh,KANPUR,ABU TAHER KHAN,Water Supply / Handpump,"Water supply pipeline extension to Shanti Nagar area, KANPUR",689128.66,19-04-2023,27-12-2023,Jai Hind Infrastructure,Completed
WS/47498/2024/00315,Maharashtra,NAGPUR,ABU TAHER KHAN,Drainage / Nala,"Covered drain construction from Station Road to Vivekanand Marg, NAGPUR",809934.53,17-11-2024,08-03-2025,Om Sai Infra Pvt Ltd,Completed
WS/35891/2025/00797,Uttar Pradesh,LUCKNOW,ADV ADOOR PRAKASH,Streetlight Installation,"Installation of streetlights at Gandhi Chowk chowk, LUCKNOW",185174.03,12-04-2025,05-02-2026,Bharat Infra Solutions,Ongoing
WS/86735/2023/00493,Kerala,IDUKKI,MEERA IYER,Solar Light Installation,"Solar light installation near Kisan Nagar hanuman mandir, IDUKKI",326135.53,02-07-2023,13-05-2024,Om Sai Infra Pvt Ltd,Ongoing
WS/60079/2023/00659,West Bengal,HOWRAH,ABHIJIT GANGOPADHYAY,Drainage / Nala,"Construction of drainage/nala near Shanti Nagar area, HOWRAH",942207.34,13-10-2023,26-04-2024,Bharat Infra Solutions,Sanctioned
WS/84647/2023/00771,West Bengal,MURSHIDABAD,PRIYA VERMA,Road Construction,"Widening and strengthening of road near Ambedkar Colony village, MURSHIDABAD",1708633.99,10-10-2023,08-08-2024,Om Sai Infra Pvt Ltd,New Recommendation
WS/36680/2024/00078,Maharashtra,NANDURBAR(ST),ANITA JOSHI,Community Hall,"Construction of community hall at Nehru Path, NANDURBAR(ST)",3056584.68,23-08-2024,07-09-2025,Metro Civil Works Pvt Ltd,Completed
WS/60868/2023/00393,West Bengal,MURSHIDABAD,ABHAY KUMAR SINHA,Community Hall,"Construction of community hall at Ambedkar Colony, MURSHIDABAD",2423587.96,14-05-2023,26-10-2023,United Rural Builders,New Recommendation
WS/92764/2025/00940,Kerala,KOTTAYAM,SANJAY DESHMUKH,Drainage / Nala,"Covered drain construction from Bazaar Road to Subhash Nagar, KOTTAYAM",389620.13,29-06-2025,31-10-2025,Ganesh Engineering Works,Completed
WS/23970/2025/00824,West Bengal,HOWRAH,ADV K FRANCIS GEORGE,Solar Light Installation,"Solar street light at Subhash Nagar chowk parisar, HOWRAH",227758.34,24-02-2025,28-06-2025,United Rural Builders,Ongoing
WS/99592/2023/00765,Maharashtra,PUNE,ABDUL RASHID SHEIKH,Streetlight Installation,"Installation of streetlights at Nehru Path chowk, PUNE",240137.97,19-10-2023,03-06-2024,Bharat Infra Solutions,New Recommendation
WS/57537/2023/00101,Uttar Pradesh,KANPUR,ADV DEAN KURIAKOSE,Road Construction,"Widening and strengthening of road near Ram Nagar village, KANPUR",1973477.13,09-11-2023,22-08-2024,Metro Civil Works Pvt Ltd,Ongoing
WS/92155/2025/00086,Uttar Pradesh,KANPUR,ABHAY KUMAR SINHA,Solar Light Installation,"Solar light installation near Kisan Nagar hanuman mandir, KANPUR",214997.96,19-02-2025,18-01-2026,Sri Lakshmi Contractors,New Recommendation
WS/90698/2025/00182,Jammu And Kashmir,BARAMULLAH,RAVI SHANKAR PRASAD JI,Community Hall,"Construction of community hall at Kisan Nagar, BARAMULLAH",3832559.83,13-03-2025,28-09-2025,National Builders & Contractors,Completed
WS/18094/2025/00193,Jammu And Kashmir,JAMMU,ABHAY KUMAR SINHA,Streetlight Installation,"Installation of streetlights at Station Road chowk, JAMMU",351036.59,21-03-2025,21-11-2025,Om Sai Infra Pvt Ltd,Completed
WS/21813/2023/00094,Kerala,ATTINGAL,ABDUL RASHID SHEIKH,Community Hall,"Multipurpose community centre building at Nehru Path panchayat, ATTINGAL",3471526.21,05-05-2023,25-04-2024,New India Construction Co.,Ongoing
WS/11424/2025/00901,Bihar,AURANGABAD_BR,ABU TAHER KHAN,Water Supply / Handpump,"Water supply pipeline extension to Subhash Nagar area, AURANGABAD_BR",589581.39,09-05-2025,04-10-2025,United Rural Builders,Ongoing
WS/85483/2024/00426,Kerala,KOTTAYAM,RAJESH KUMAR SHARMA,Solar Light Installation,"Solar light installation near Panchayat Bhavan Marg hanuman mandir, KOTTAYAM",240207.41,05-07-2024,04-12-2024,Jai Hind Infrastructure,Ongoing
WS/76005/2023/00907,Uttar Pradesh,LUCKNOW,ADV K FRANCIS GEORGE,Water Supply / Handpump,"Installation of handpump at Ram Nagar village, LUCKNOW",1966820.05,11-08-2023,28-11-2023,New India Construction Co.,Sanctioned
WS/32312/2025/00976,Maharashtra,NANDURBAR(ST),ANITA JOSHI,Water Supply / Handpump,"Installation of handpump at Bazaar Road village, GAYA",635482.84,26-04-2025,28-11-2025,Deep Construction Co.,Ongoing
WS/72784/2025/00882,Uttar Pradesh,KANPUR,ABU TAHER KHAN,School Building Repair,"Repair and renovation of Govt. School building at Ram Nagar, KANPUR",724412.4,13-04-2025,20-01-2026,New India Construction Co.,Ongoing
WS/34318/2025/00454,Bihar,PATNA_SAHIB,RAVI SHANKAR PRASAD JI,Community Hall,"Multipurpose community centre building at Andouli panchayat, PATNA_SAHIB",2635197.45,03-06-2025,24-06-2026,United Rural Builders,Sanctioned
WS/49289/2023/00227,Bihar,PATNA_SAHIB,ADV DEAN KURIAKOSE,School Building Repair,"Construction of additional classroom at Ambedkar Colony school, PATNA_SAHIB",604308.75,19-09-2023,27-06-2024,Bharat Infra Solutions,Sanctioned
WS/85132/2024/00746,West Bengal,KANTHI,ADITYA YADAV,Road Construction,"CC road construction at Shanti Nagar ward, KANTHI",974572.41,30-11-2024,04-03-2025,Jai Hind Infrastructure,Ongoing
WS/59271/2023/00752,Kerala,IDUKKI,ADV ADOOR PRAKASH,School Building Repair,"Repair and renovation of Govt. School building at Gandhi Chowk, IDUKKI",1273488.02,01-12-2023,02-10-2024,Deep Construction Co.,New Recommendation
WS/41856/2023/00475,Kerala,KOTTAYAM,ABU TAHER KHAN,Solar Light Installation,"Solar street light at Bazaar Road chowk parisar, KOTTAYAM",354970.36,27-06-2023,22-10-2023,Deep Construction Co.,Completed
WS/68402/2024/00600,Kerala,ERNAKULAM,RAJESH KUMAR SHARMA,School Building Repair,"Repair and renovation of Govt. School building at Station Road, ERNAKULAM",921963.61,17-01-2024,09-09-2024,New India Construction Co.,New Recommendation
WS/39607/2023/00637,Kerala,ATTINGAL,RAVI SHANKAR PRASAD JI,Drainage / Nala,"Construction of drainage/nala near Bazaar Road area, ATTINGAL",558620.0,19-05-2023,17-12-2023,Jai Hind Infrastructure,Sanctioned
WS/50084/2023/00986,West Bengal,TAMLUK,ADITYA YADAV,Community Hall,"Multipurpose community centre building at Andouli panchayat, TAMLUK",3563676.5,05-08-2023,06-08-2023,Metro Civil Works Pvt Ltd,Completed
WS/71918/2023/00183,Jammu And Kashmir,BARAMULLAH,ANITA JOSHI,Drainage / Nala,"Construction of drainage/nala near Ram Nagar area, BARAMULLAH",874150.12,24-05-2023,12-09-2023,Sri Lakshmi Contractors,New Recommendation
WS/77844/2023/00464,Bihar,PATNA_SAHIB,MEERA IYER,School Building Repair,"Repair and renovation of Govt. School building at Shanti Nagar, PATNA_SAHIB",400273.88,06-05-2023,27-11-2023,Jai Hind Infrastructure,Completed
WS/37222/2023/00344,Uttar Pradesh,LUCKNOW,RAJESH KUMAR SHARMA,Water Supply / Handpump,"Water supply pipeline extension to Kisan Nagar area, LUCKNOW",486829.36,12-09-2023,01-12-2023,United Rural Builders,Sanctioned
WS/51984/2024/00375,Uttar Pradesh,VARANASI,ANITA JOSHI,Solar Light Installation,"Solar light installation near Station Road hanuman mandir, VARANASI",278057.46,11-08-2024,01-11-2024,Bharat Infra Solutions,Ongoing
WS/32427/2025/00877,Uttar Pradesh,VARANASI,ADV GOWAAL KAGADA PADAVI,Solar Light Installation,"Solar light installation near Gandhi Chowk hanuman mandir, VARANASI",177117.71,26-03-2025,09-10-2025,United Rural Builders,Completed
WS/46002/2025/00961,Bihar,GAYA,AASHTIKAR PATIL NAGESH BAPURAO,Community Hall,"Construction of community hall at Shanti Nagar, TAMLUK",1598818.7,28-07-2025,26-04-2026,Deep Construction Co.,New Recommendation
WS/35919/2025/00287,Bihar,GAYA,ABHAY KUMAR SINHA,Streetlight Installation,"Installation of streetlights at Panchayat Bhavan Marg chowk, GAYA",413753.44,26-10-2025,01-02-2026,Shree Balaji Construction Co.,Completed
WS/51697/2025/00939,Kerala,KOTTAYAM,SANJAY DESHMUKH,Water Supply / Handpump,"Water supply pipeline extension to Station Road area, KOTTAYAM",473288.19,15-04-2025,10-09-2025,Ganesh Engineering Works,Sanctioned
WS/54063/2025/00867,Maharashtra,HINGOLI,PRIYA VERMA,School Building Repair,"Repair and renovation of Govt. School building at Subhash Nagar, HINGOLI",1134959.65,17-03-2025,05-04-2026,Ganesh Engineering Works,Ongoing
WS/86122/2024/00280,Maharashtra,NANDURBAR(ST),ANITA JOSHI,School Building Repair,"Repair and renovation of Govt. School building at Ram Nagar, NANDURBAR(ST)",1381185.67,16-04-2024,04-02-2025,Deep Construction Co.,Completed
WS/23606/2024/00932,Bihar,GAYA,PRIYA VERMA,Water Supply / Handpump,"Installation of handpump at Ram Nagar village, GAYA",398273.85,26-12-2024,15-04-2025,Shree Balaji Construction Co.,Completed
WS/28661/2023/00279,Maharashtra,NAGPUR,ADV GOWAAL KAGADA PADAVI,Road Construction,Construction of concrete road from Kisan Nagar to Nehru Path in NAGPUR,1148830.43,30-11-2023,30-08-2024,Metro Civil Works Pvt Ltd,Completed
WS/57329/2024/00265,West Bengal,HOWRAH,ABHIJIT GANGOPADHYAY,Drainage / Nala,"Covered drain construction from Vivekanand Marg to Shanti Nagar, HOWRAH",749624.29,29-11-2024,05-03-2025,United Rural Builders,Completed
WS/26637/2025/00271,West Bengal,KANTHI,ANITA JOSHI,Streetlight Installation,"Installation of streetlights at Kisan Nagar chowk, KANTHI",502344.2,08-04-2025,17-10-2025,National Builders & Contractors,New Recommendation
WS/24779/2024/00980,Bihar,PATNA_SAHIB,MEERA IYER,Solar Light Installation,"Solar light installation near Andouli hanuman mandir, VARANASI",2207174.11,03-02-2024,20-09-2024,United Rural Builders,Sanctioned
WS/72277/2023/00042,Maharashtra,NANDURBAR(ST),ADV GOWAAL KAGADA PADAVI,Drainage / Nala,"Covered drain construction from Bazaar Road to Ram Nagar, NANDURBAR(ST)",1025906.61,29-08-2023,09-11-2023,Shree Balaji Construction Co.,Ongoing
WS/38760/2025/00049,West Bengal,HOWRAH,RAVI SHANKAR PRASAD JI,Water Supply / Handpump,"Water supply pipeline extension to Nehru Path area, HOWRAH",714243.84,28-06-2025,01-07-2026,Ganesh Engineering Works,Sanctioned
WS/52413/2023/00296,Uttar Pradesh,KANPUR,AASHTIKAR PATIL NAGESH BAPURAO,Community Hall,"Construction of community hall at Andouli, KANPUR",3794740.46,24-10-2023,27-02-2024,New India Construction Co.,Ongoing
WS/39683/2023/00974,Maharashtra,HINGOLI,ABDUL RASHID SHEIKH,Water Supply / Handpump,"Installation of handpump at Subhash Nagar village, SRINAGAR",269780.21,07-06-2023,04-05-2024,Om Sai Infra Pvt Ltd,New Recommendation
WS/63522/2025/00879,Kerala,KOTTAYAM,RAJESH KUMAR SHARMA,Community Hall,"Multipurpose community centre building at Bazaar Road panchayat, KOTTAYAM",1708115.39,23-03-2025,27-02-2026,Bharat Infra Solutions,Ongoing
WS/72518/2024/00048,Maharashtra,NANDURBAR(ST),SANJAY DESHMUKH,School Building Repair,"Construction of additional classroom at Andouli school, NANDURBAR(ST)",1666773.87,19-11-2024,28-01-2025,Jai Hind Infrastructure,Sanctioned
WS/16259/2023/00784,Jammu And Kashmir,SRINAGAR,RAJESH KUMAR SHARMA,Drainage / Nala,"Construction of drainage/nala near Panchayat Bhavan Marg area, SRINAGAR",495005.19,06-05-2023,02-04-2024,Ganesh Engineering Works,Sanctioned
WS/87178/2023/00846,West Bengal,MURSHIDABAD,PRIYA VERMA,Road Construction,"CC road construction at Ambedkar Colony ward, MURSHIDABAD",2130647.15,05-08-2023,01-01-2024,United Rural Builders,New Recommendation
WS/25570/2025/00861,West Bengal,KANTHI,ABDUL RASHID SHEIKH,Drainage / Nala,"Covered drain construction from Subhash Nagar to Ambedkar Colony, KANTHI",899584.34,27-11-2025,28-09-2026,Progressive Engineers & Contractors,New Recommendation
WS/59412/2023/00232,West Bengal,HOWRAH,ABU TAHER KHAN,Water Supply / Handpump,"Water supply pipeline extension to Ram Nagar area, HOWRAH",411982.85,15-12-2023,15-01-2025,National Builders & Contractors,Sanctioned
